gene1	t1	1	+	51:200,301:400,601:750
gene2	t1	1	+	801:950
gene3	t1	1	+	1051:1150,1301:1400,1501:1600
gene4	t1	1	+	2101:2250,2351:2450,2751:2850
gene5	t1	1	+	3101:3200,3351:3450,3651:3750,3901:4000
gene6	t1	1	+	4051:4150,4251:4350,4401:4500
gene7	t1	1	-	4551:4650,4701:4800,4901:5000
gene8	t1	1	+	5051:5150,5201:5300,5401:5500
gene9	t1	1	-	5551:5650,5751:5850,5901:6000
gene10	t1	1	+	6051:6200,6301:6450,6601:6750,6901:7000
gene11	t1	1	+	7051:7150,7351:7450
gene12	t1	1	+	7551:7650,7851:7950
gene13	t1	1	+	8051:8150,8351:8450
gene14	t1	1	+	8551:8650,8851:8950
gene15	t1	1	+	9051:9150,9351:9450
gene16	t1	1	+	9551:9650,9851:9950
